idBNE_code,Title,,,
bimo0001639805,El Mayón o Volcán de Albay (Filipinas),,,
bimo0001709614,"Terremotos de Nueva Vizcaya (Filipinas) en 1881 : informe acerca de ellos, seguido de unos apuntes físicos y geológicos tomados en el viaje de Manila a dicha provincia",,,
bimo0000684701,Vida y honestidad de los clérigos,,,
bimo0001399767,La piedad ilustrada : directorio espiritual compuesto para las personas instruídas,,,
bimo0001923681,Pozos artesianos,,,
bimo0001923682,Investigación y alumbramiento de aguas subterráneas,,,
bimo0000865752,Los últimos sacramentos,,,
bimo0001158978,La penitencia,,,
bimo0001573226,El pecado mortal,,,
a5040950,"Medallas españolas. Academias y sociedades científicas y literarias, fundaciones y premios",,,
a5263151,La perspectiva estereográfica : una materialización didáctica,,,
bimo0001091433,La iglesia de Latas apuntes reunidos por Enrique de Leguina y Vidal,,,
bimo0001121587,Galleguismo : lucha por la personalidad nacional y la cultura : (ensayos),,,
bimo0001379858,Mugeres de la Biblia : obra refundida,,,
bimo0001438807,"Diccionario universal de la lengua castellana, ciencias y artes : enciclopedia de los conocimientos humanos : comprende lengua y gramática castellanas, retórica y poética, crítica, literatura ...",,,
bimo0000610765,Sobre los efectos de la voluntad unilateral (propia o ajena) en materia de obligaciones mercantiles,,,
bimo0000650136,El despuntar del día (escena de muerte y vida),,,
bimo0000650140,Los empeños de un agravio comedia en tres jornadas y en verso,,,
bimo0000650155,Historia de la venida del inglés sobre Cádiz en 1625,,,
bimo0000716603,"El rapto de Doña Almodis, hija del Conde de Barcelona D. Berenguer III narración histórica",,,
bimo0000760963,Sucintas reflexiones histórico-filosóficas sobre las ventajas de que un solo individuo reuna las dos facultades de medicina y cirujía [sic] especialmente en el ejército,,,
bimo0000781209,"A galope tendido juguete cómico en un acto, en prosa",,,
bimo0000785128,Las diez de la noche comedia en dos actos,,,
bimo0001293431,"Jeografía física y política del Distrito Federal, capital de los Estados Unidos de Colombia",,,
bimo0001863020,Jeografía física i política del Estado de Cundinamarca,,,
bimo0001863024,Jeografía física i política del Estado de Boyaca,,,
bimo0001863030,Jeografía física i política del Estado de Santander,,,
bimo0001863031,Jeografía física i política del Estado del Tolima,,,
Mimo0001296067,El autor y los interlocutores de los diálogos de la montería,,,
bimo0000345740,"Nuevas nacionalidades en Europa Checoslovaquia, Yugoslavia, Finlandia, Estonia, Latvia, Lituania, Polonia, Ucrania",,,
bimo0001651540,"Discurso en la solemne distribución de premios de la Exposición Aragonesa por mano de S.M. el Rey D. Amadeo I, leído en el Paraninfo de la Universidad el día 28 de setiembre de 1871",,,
bimo0002342258,"Memoria de los trabajos en que se ha ocupado la Junta de Agricultura, Industria y Comercio de la provincia de Sevilla en el año de 1869",,,
bimo0000490738,"La bodega del diablo : capricho cómico-lírico-bailable en un acto y tres cuadros, en verso",,,
bimo0001639821,La mujer : canto épico,,,
bimo0000749345,La mortaja de limosna Novela original,,,
bimo0000803277,"Los dos curiosos impertinentes : drama en verso, en un prólogo y dos actos, tercera parte de una trilogía",,,
bimo0000979323,Obras escogidas de don J.E. Hartzenbusch,,,
bimo0001047835,La criminalidad en España,,,
bimo0001226020,Lecciones de literatura explicadas en el Instituto de San Isidro de Madrid,,,
bimo0001311632,La reacción y la revolución. Tomo primero : estudios políticos y sociales,,,
bimo0001312527,"Las frases célebres estudio sobre la frase, en religión, ciencias, literatura, historia y política",,,
bimo0001474622,Las tomadoras,,,
bimo0001573626,Los códices de las iglesias de Galicia en la Edad Media estudio histórico-bibliográfico,,,
bimo0001643982,"Discurso del Señor Don Antonio Arnao, individuo de número de la Real Academia Española, leído ante esta corporación en la sesión pública inaugural de 1876",,,
bimo0001643985,"Don Rodrigo drama lírico en tres actos, subdividido en cinco cuadros, que obtuvo el accésit en el certamen literario abierto por la Real Academia Española en [sic] 12 de diciembre de 1857",,,
bimo0000624475,Senderos de vida : novela,,,
Mimo0000688456,Catálogo metódico de plantas observadas en Cataluña particularmente en las inmediaciones de Barcelona... con sus nombres botánicos más usuales... seguido de la nomenclatura catalana de las plantas...,,,
